telescope,filter,file,n_stars,median,mean,std,max,mad_sigma
swo,V,SN06bt_V_comb_swo.fits,25,1.6748428528282655,1.8045607224391875,0.3833306280624472,3.274396473526032,0.024400713542677383
dup,V,SN04ef_V_comb_dup.fits,25,1.6718550768219238,1.7122548545873266,0.2694651698566374,2.557820085814168,0.03125703566637858
dup,B,ASAS14me_B_comb_dup.fits,23,1.6695992385467342,1.5073177370199229,0.4535905360476231,1.7719736563301942,0.020313440026555777
dup,B,KISS15m_B_comb_dup.fits,21,1.662926673904148,1.4451392554196207,0.8955056998905134,3.1747272584873,0.6791956268280425
dup,V,SN08cc_V_comb_dup.fits,25,1.6418110305335307,1.6921338117505165,0.2303398840830891,2.725762220163467,0.07381518143624075
dup,B,SN10ae_B_comb_dup.fits,25,1.6415650806735969,1.6741305089342131,0.0778927077471734,1.9813018862556877,0.03983393623315806
dup,V,ASAS14lq_V_comb_dup.fits,25,1.6397127259086135,1.4774557158857633,0.5879769384941936,2.756761972536182,0.020343137339697157
dup,B,CSP14aar_B_comb_dup.fits,25,1.632943233614769,1.6455173675712897,0.06454101858834682,1.8312050758432323,0.016378302201301355
dup,B,SN04ef_B_comb_dup.fits,24,1.631205181067636,1.668562154451223,0.14515919995691237,2.2209531386210477,0.02204926824092871
swo,V,SN06bh_V_comb_swo.fits,25,1.630187942782104,1.6279983113208083,0.02305413197824309,1.695603946585822,0.014325800098254205
dup,V,ASAS14hr_V_comb_dup.fits,20,1.626701398489348,1.4352716821820433,0.47515450048860247,1.685106124338957,0.013777468305204325
dup,B,ASAS15dd_B_comb_dup.fits,25,1.613199975714066,1.6816186166808405,0.26560502463476376,2.6612628533671256,0.023183764314464998
dup,V,CSP14abl_V_comb_dup.fits,25,1.6102874990880065,1.6467269298180898,0.6861742658120138,4.44489930335337,0.06858858113824463
dup,B,SN05W_B_comb_dup.fits,21,1.6052190538825342,1.1994794616195281,0.7407057877444548,2.14370957384948,0.7463526834179064
dup,V,ASAS14me_V_comb_dup.fits,24,1.5995892289458484,1.610752669473426,0.03425603650835021,1.7246445448072307,0.025848757518945942
dup,B,KISS13v_B_comb_dup.fits,24,1.59353447722526,1.2964200884404369,0.5708501393404344,1.8740550591122327,0.07027604994311497
dup,B,CSP14abl_B_comb_dup.fits,21,1.581035816419761,1.4058957352730792,0.7928510964380214,3.8541515807807634,0.0612565932507355
dup,V,SN08O_V_comb_dup.fits,24,1.5803542390412706,1.603056099422943,0.3530982707228421,2.4475346931405286,0.023083777378890547
swo,V,SN06py_V_comb_swo.fits,25,1.5639596605443378,1.3449953080502004,0.44248800699882274,1.6395613452310869,0.043178709951059505
dup,B,CSP13aaq_B_comb_dup.fits,25,1.5569261955800255,1.5189013936401232,0.15805250062362747,1.695471588231625,0.06290817246852576
dup,B,ASAS14hp_B_comb_dup.fits,25,1.5541651416290994,1.5110438571453875,0.22263206622077225,1.575952626274718,0.014388425086349051
dup,B,SN08cc_B_comb_dup.fits,25,1.5535511178558536,1.6204143658765409,0.23378889738574102,2.6329236354426366,0.03687766608203376
dup,B,ASAS14jz_B_comb_dup.fits,25,1.546377914972275,1.5449776821806287,0.050208627602552604,1.6919258530917018,0.013340388431667254
dup,V,SN09al_V_comb_dup.fits,25,1.5462455287568542,1.6796330395895027,0.3626935376462946,2.74548615802738,0.0832916433608066
dup,B,SN2012fr_B_comb_dup.fits,23,1.543092559696542,2.061251290470985,1.362999497127318,5.502671655747543,0.8436214303854741
swo,V,SN07ax_V_comb_swo.fits,25,1.5429075149951288,1.6387750183238894,0.32289850055874036,2.8402228867979296,0.024482997374109274
swo,V,SN05mc_V_comb_swo.fits,25,1.5425335176627928,1.6055896506941656,0.35341803489056883,2.751035981480716,0.030580427098570173
dup,V,SN10ae_V_comb_dup.fits,25,1.5376209442267317,1.6336304446778143,0.3121626195381848,2.701524881775096,0.07336549892235662
dup,B,CSP14adc_B_comb_dup.fits,24,1.5246170919332993,1.5516678126403518,0.12760126522504014,2.107862648517966,0.04817585754685545
dup,B,SN08fl_B_comb_dup.fits,25,1.5235958826759597,1.5411643296837432,0.06912482840033787,1.7993034654774165,0.04329589600820259
dup,V,KISS15m_V_comb_dup.fits,23,1.5128803119157683,1.4431535571109209,0.7232045284454681,2.719238228681378,0.054339313167507106
dup,V,CSP14aar_V_comb_dup.fits,25,1.509123926926886,1.5352603401028135,0.1994478271487184,2.423298925046832,0.02031348445834259
dup,V,CSP13aae_V_comb_dup.fits,25,1.4914391010923205,1.542724280987498,0.20470334614529964,2.480663931951074,0.07532695920384938
swo,V,SN06gj_V_comb_swo.fits,25,1.4867241014736243,1.530729974200132,0.1900303836046422,2.4335228390353723,0.021273181917401945
dup,B,LSQ11bk_B_comb_dup.fits,25,1.486188137405098,1.4806219119598407,0.019833035415207135,1.5122525559850108,0.0172876781199398
dup,B,SN07st_B_comb_dup.fits,17,1.4775143236107362,1.1777068894782319,0.699936662789255,2.8363144015347634,0.2520776051436273
dup,V,SN2011jt_V_comb_dup.fits,25,1.4755160657464494,1.5179422238410953,0.20641727092358086,2.484405211825952,0.03198979394988279
dup,B,CSP13P_B_comb_dup.fits,25,1.4699294633063722,1.4706594329846265,0.018250856732390266,1.501594380588786,0.020830973948464424
dup,V,SN08fl_V_comb_dup.fits,25,1.4657260812198176,1.5605998430739225,0.2885635000138585,2.693691403544635,0.0840664304916468
dup,B,SN08J_B_comb_dup.fits,25,1.464381141813277,1.9472874357110244,1.1223539009235208,6.087269950408173,0.07270958781066637
dup,V,SN09Y_V_comb_dup.fits,25,1.4637117156920725,1.5003490778642332,0.16567872170866738,2.28364040862545,0.025184415755385013
dup,V,SN07st_V_comb_dup.fits,16,1.4634936565644994,1.1714075338781862,0.736481089274109,2.74137210754282,0.9883788489894095
dup,B,CSP14acm_B_comb_dup.fits,24,1.4529304748949103,1.425350038210296,0.40015975149928,2.7209932342652725,0.049925002713194715
dup,V,SN07le_V_comb_dup.fits,19,1.4494916614192643,1.210951534100084,0.45024210313133545,1.5742833876308708,0.06153696523641759
dup,B,CSP12M_B_comb_dup.fits,25,1.4450297654322153,1.6437663276710446,0.36442931064705186,2.5526785061365005,0.06442037911616236
dup,B,SN09Y_B_comb_dup.fits,25,1.4441452479138568,1.4706846052711817,0.09039217586800868,1.8413994675088905,0.020799590517357126
swo,V,SN05na_V_comb_swo.fits,25,1.4434141975865742,1.5214863583817748,0.18001909859795936,1.9775805856437367,0.058820565473908466
dup,V,CSP13am_V_comb_dup.fits,25,1.4430323163720709,1.4095118636598625,0.270570609215746,2.154138438883851,0.09645498423253199
dup,B,SN05am_B_comb_dup.fits,23,1.4425093944219654,1.5023884382380732,0.32089523466714204,2.6950125188442504,0.049326067142297876
dup,B,PTF14fpg_B_comb_dup.fits,22,1.4418388924118246,1.39470133051041,0.39527905214666054,2.390392941713705,0.043570015719045375
dup,B,SN07as_B_comb_dup.fits,19,1.4299331212139046,1.2865759753224777,0.3689035524182876,1.5469151855234646,0.05514124565509768
dup,V,SN04gs_V_comb_dup.fits,25,1.4258103791188628,1.5131945931012223,0.29278904215638846,2.725905629941864,0.05062109703506988
dup,V,PTF13ez_V_comb_dup.fits,25,1.4218267603311772,1.558705857313213,0.43858588332338044,3.0050604976424005,0.05805679165768133
dup,V,CSP14acy_V_comb_dup.fits,25,1.418317666562396,1.5970507496266513,0.6631372014630809,4.362151042408804,0.168953738352355
dup,V,SN05W_V_comb_dup.fits,24,1.4155961470305176,1.2680555965875018,0.5493970676202212,2.611802968998869,0.03860039331255562
dup,V,ASAS14lt_V_comb_dup.fits,22,1.409365536341359,1.4694420333420093,0.2679324785627144,2.667613036369331,0.010726844703350601
dup,B,SN04dt_B_comb_dup.fits,21,1.4072067098747811,1.1572813345923916,0.7923569059781203,2.822547930280373,1.2707740575457702
dup,B,SN09al_B_comb_dup.fits,25,1.4065303252831798,1.5182314202424414,0.33495353183427684,2.5593489366740765,0.057325772667563654
dup,B,SN09F_B_comb_dup.fits,25,1.4050196251480918,1.500521812826881,0.30197220453406315,2.567282336190651,0.039344797044373
dup,B,ASAS14jg_B_comb_dup.fits,25,1.4046032744932369,1.3291284457988646,0.5729179968355688,3.3141425486447926,0.038707268798786894
swo,V,SN06is_V_comb_swo.fits,25,1.4038678439484578,1.502270100442193,0.2917146353954798,2.8129157776952125,0.02995187720112715
dup,B,SN08O_B_comb_dup.fits,24,1.403804360103924,1.3782531206089583,0.21541956851998378,1.56238342424531,0.009229658808937459
swo,V,SN05ku_V_comb_swo.fits,25,1.4028267568181034,1.5807046250541652,0.39160105226795816,2.941328338785993,0.0343970704720969
swo,V,SN05ki_V_comb_swo.fits,25,1.397932315441374,1.4682080409034177,0.4552255601962017,2.827366879807507,0.02445722638349734
dup,B,LSQ11pn_B_comb_dup.fits,25,1.3971506754624676,1.4216997142034007,0.1489613831440379,1.9304272431655,0.09736203157720509
dup,B,CSP13an_B_comb_dup.fits,25,1.3922379391329924,1.4435000039602037,0.20526541892739267,2.3663067357489624,0.02088528324510295
dup,B,SN09J_B_comb_dup.fits,25,1.390899492157267,1.4225395805664975,0.1351980859143249,2.052961424977405,0.023611276706940118
