object,telescope,filter,file,plate_scale,z,n_stars,fwhm_arcsec,sigma_min_arcsec,sigma_min_kpc,smallest_safe_grid_radius_kpc
SN05hc,dup,B,SN05hc_B_comb_dup.fits,0.23,0.046,11,1.0270082405778476,0.43613024389910426,0.39407482513700226,1.0
SN05hc,dup,V,SN05hc_V_comb_dup.fits,0.23,0.046,16,0.7614090023996145,0.3233406323367726,0.2921613553066942,1.0
SN05hj,dup,B,SN05hj_B_comb_dup.fits,0.23,0.0574,13,1.0405615869140614,0.44188582015420436,0.4915512830355543,1.0
SN05hj,dup,V,SN05hj_V_comb_dup.fits,0.23,0.0574,16,0.7339726471287689,0.3116894850107845,0.34672161739038443,1.0
SN05hk,dup,B,SN05hk_B_comb_dup.fits,0.23,0.013,16,1.047609321286164,0.44487871737663726,0.11819452515659173,1.0
SN05hk,dup,V,SN05hk_V_comb_dup.fits,0.23,0.013,18,1.0470016003099238,0.44462064203983076,0.1181259601956326,1.0
SN05iq,dup,B,SN05iq_B_comb_dup.fits,0.23,0.034,22,1.329225190726539,0.5644699659880249,0.382417664433762,1.0
SN05iq,dup,V,SN05iq_V_comb_dup.fits,0.23,0.034,23,1.2260528678967475,0.5206567145051773,0.3527350199834191,1.0
SN05ir,dup,B,SN05ir_B_comb_dup.fits,0.23,0.0764,13,1.0185001972337058,0.43251721055411674,0.6262903214887963,1.0
SN05ir,dup,V,SN05ir_V_comb_dup.fits,0.23,0.0764,10,1.003396895995993,0.42610342905536347,0.6170030857932111,1.0
SN05kc,dup,B,SN05kc_B_comb_dup.fits,0.23,0.015,19,0.9441634315246141,0.4009492927142995,0.12261377963009103,1.0
SN05kc,dup,V,SN05kc_V_comb_dup.fits,0.23,0.015,20,0.9006719386123052,0.38248015618555165,0.11696575710593707,1.0
