telescope,filter,file,n_stars,median,mean,std,max,mad_sigma,flag_high_scatter,flag_very_soft,flag_few_stars,any_flag
dup,V,SN04eo_V_comb_dup.fits,25,0.9770088095163896,1.0034514367731395,0.1102890781615261,1.3344768441172503,0.0300146490801046,False,False,False,False
dup,V,ASAS14ad_V_comb_dup.fits,25,0.9750071627420908,0.9636915182812156,0.1689433409379755,1.5428947728039284,0.0359276320092534,False,False,False,False
dup,V,LSQ12ca_V_comb_dup.fits,25,0.9749183888503616,1.019105784563586,0.128997638510926,1.3628564358427826,0.1002562894909629,False,False,False,False
dup,B,LSQ14ajn_B_comb_dup.fits,20,0.9737753789090168,1.0749840410151568,0.3756067882061168,2.167450690906937,0.0441878274953487,False,False,False,False
dup,B,SN08gp_B_comb_dup.fits,25,0.9707150794213598,0.9731788775301649,0.0300271966843372,1.0562164985181826,0.0258433080096684,False,False,False,False
swo,V,ASAS15hf_V_comb_swo.fits,25,0.9705106488844464,1.0600414362038315,0.2592192369560626,2.1485297397374667,0.0788503678059091,False,False,False,False
swo,V,ASAS15al_V_comb_swo.fits,25,0.9701677941959024,0.9701450810703692,0.1080423396732873,1.137590743925834,0.1222243569391216,False,False,False,False
swo,V,ASAS15ga_V_comb_swo.fits,25,0.9700126612459758,1.0060857731598114,0.2757763777669166,2.191350951689851,0.0355190169226499,False,False,False,False
dup,V,ASAS15eb_V_comb_dup.fits,25,0.9693363504576082,1.1459380131319858,0.400009611832074,2.8029090990409125,0.0582016670633117,False,False,False,False
dup,B,CSP12G_B_comb_dup.fits,25,0.9684987357556234,0.9853288753353296,0.1813310816610395,1.3088345298039556,0.0772940602933955,False,False,False,False
dup,V,LSQ15bv_V_comb_dup.fits,25,0.967986910246894,1.003284069021005,0.1754386382782797,1.805350554881714,0.0320333513354286,False,False,False,False
dup,B,ASAS15cd_B_comb_dup.fits,25,0.9676867973842368,1.0640912378263805,0.2874793414970631,1.95441147913998,0.0567533241805405,False,False,False,False
dup,B,SN2011jh_B_comb_dup.fits,24,0.9670115215491956,1.029148567729309,0.3660818415833161,2.531556193614089,0.0209847123074965,False,False,False,False
dup,B,LSQ13cwp_B_comb_dup.fits,25,0.9668107360623536,1.0548169457226213,0.3172597000890795,2.3065698540904376,0.0460439431833935,False,False,False,False
dup,B,PTF14uo_B_comb_dup.fits,24,0.9665044501030158,0.9172473745696208,0.3086769509170288,1.6671729480133768,0.0765447151187823,False,False,False,False
dup,B,SN04gs_B_comb_dup.fits,24,0.9663776491136972,0.9388993828297708,0.4043434443446876,2.25945123706026,0.0537424487963364,False,False,False,False
swo,V,PTF11ppn_V_comb_swo.fits,25,0.96633848638323,0.9886745949049568,0.1350481091596883,1.501813313574605,0.0214014023834267,False,False,False,False
dup,V,ASAS15ba_V_comb_dup.fits,24,0.9646730969311323,1.0156304292988712,0.3148475486348078,1.955041165145032,0.0372503323949565,False,False,False,False
dup,B,SN08bt_B_comb_dup.fits,23,0.9645969448928654,1.0670089343788711,0.4965173131115862,3.157310720856103,0.0429964119474156,False,False,False,False
dup,V,CSP12N_V_comb_dup.fits,25,0.9642819115727446,0.9703089773630972,0.0388464721257675,1.0759308688340414,0.0356024984201716,False,False,False,False
swo,V,CSP14aar_V_comb_swo.fits,25,0.9641101696831232,0.9874500515753466,0.0851329692994235,1.3599901415731053,0.0416245594703946,False,False,False,False
dup,B,SN09ag_B_comb_dup.fits,25,0.9638606519081976,1.076091069975431,0.2165473117715911,1.8221150248023497,0.1374354816487259,False,False,False,False
dup,V,SN05ir_V_comb_dup.fits,19,0.9634116088139526,0.6966613961241122,0.3561457976157615,1.158307279126362,0.2889527531823145,False,False,False,False
dup,V,CSP14adf_V_comb_dup.fits,25,0.9619031227364948,0.9803214543883726,0.0488407546396462,1.1359555498289338,0.0298953005789286,False,False,False,False
dup,B,LSQ13dby_B_comb_dup.fits,23,0.9604367342155734,0.9654935864562568,0.0474586051299386,1.0650457317893265,0.0307167851189448,False,False,False,False
dup,V,LSQ14asu_V_comb_dup.fits,25,0.9587593909631164,0.9794936378734362,0.0610882993491619,1.172892310729608,0.0249808777790387,False,False,False,False
dup,B,PTF13duj_B_comb_dup.fits,25,0.958636322775755,0.962534074920571,0.0849104944038737,1.2977912045707654,0.0474553212531499,False,False,False,False
dup,V,LSQ12fvl_V_comb_dup.fits,25,0.9574407006312644,1.1182389977307174,0.5120437837618886,2.78166844505074,0.2900678020798405,False,False,False,False
dup,B,SN05ir_B_comb_dup.fits,21,0.9571243777419024,0.7463383462743198,0.3825211694155829,1.4885511551679722,0.2805869236678333,False,False,False,False
dup,V,SN05be_V_comb_dup.fits,22,0.9567846348621638,0.9702551777376563,0.4283816398154781,2.039940248502303,0.0853242886411299,False,False,False,False
dup,B,LSQ14mc_B_comb_dup.fits,24,0.956778345219042,0.9344251962545764,0.2030754463758921,1.2584324911929974,0.0496197216757952,False,False,False,False
